id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1162086751532631726,Urban Rotonda Retreat in the City Center!,578973229,Apostolos,,Thessaloniki,40.633308544910534,22.95435943928679,Entire home/apt,67,2,19,2024-12-01,2.70,1,89,19,00002658180
1162091128325449786,Nice Central Studio / 2P,293281060,Leonidas,,Thessaloniki,40.63842,22.94261,Entire home/apt,50,2,2,2024-09-30,0.39,1,156,2,00002657535
1162198918369102863,Manolis House,578999635,Emmanouil,,Kalamaria,40.58437,22.95757,Entire home/apt,123,2,1,2024-07-29,0.20,1,85,1,00002680507
1162768663044031392,"Amarillo #1, Nilie Hospitality MGMT",239769711,Nilie Premium Hospitality MGMT,,Thessaloniki,40.63888,22.9406,Entire home/apt,100,1,6,2024-10-10,0.87,284,240,6,1774141
1162905538150174038,F & B Collection - 2 Bedroom Flat,31131449,Dimitris,,Kalamaria,40.5719766,22.957392,Entire home/apt,194,7,5,2024-11-11,0.88,57,360,5,00002598110
1162909585500549892,Central Modern Comfort,131007098,Artan,,Thessaloniki,40.619,22.95729,Entire home/apt,75,6,0,,,1,262,0,00002660127
1162914890498393985,Super apartment in Thessaloniki!,339814713,Maria,,Thessaloniki,40.63845,22.94931,Entire home/apt,,1,0,,,1,0,0,00002715715
1163026014693258305,Residents at Elysium Estate,10654206,Alexandra,,Pilea – Chortiatis,40.58954,23.01175,Entire home/apt,300,2,8,2024-10-28,1.53,28,289,8,00002657864
1163538221925683347,Downtown Stylish Apartment 2,444906990,Smart Plan,,Thessaloniki,40.63459,22.9526,Entire home/apt,65,1,8,2024-11-29,1.17,18,258,8,00002654710
1163560034220831399,Downtown Stylish Apartment 4,444906990,Smart Plan,,Thessaloniki,40.63435,22.95191,Entire home/apt,67,1,6,2024-07-17,0.89,18,249,6,00002653910
1163771498162327165,Nice & Quiet Toumba Area / 4P,579415261,Ουρανια,,Thessaloniki,40.615939,22.9698725,Entire home/apt,66,2,7,2024-12-14,1.44,1,354,7,00002665986
1165035093173034700,Helena's Apartment,269803467,Elena,,Thessaloniki,40.6126241,22.9536573,Entire home/apt,74,2,12,2024-11-05,1.96,1,244,12,00002695329
1165115569877571405,Modern 2 bedroom Penthouse,579725563,Pavlos,,Thessaloniki,40.63189664273164,22.948912286508193,Entire home/apt,107,1,60,2024-12-24,8.82,1,37,60,00002666601
1165624922087116933,BH636 - C - Room Thessaloniki,461193921,The Best Homes Md Lp,,Thessaloniki,40.63867,22.93892,Entire home/apt,197,3,0,,,14,354,0,1302202
1165657255959095421,BH637 - C - Room Thessaloniki,461193921,The Best Homes Md Lp,,Thessaloniki,40.63917,22.93876,Entire home/apt,194,3,0,,,14,361,0,1302202
1165683313629972715,Shinny downtown living,52202112,Mike,,Thessaloniki,40.6361654,22.9504853,Entire home/apt,54,1,0,,,3,260,0,00002621103
1165688836054767128,BH654 - C - Room Thessaloniki,461193921,The Best Homes Md Lp,,Thessaloniki,40.63757,22.94045,Entire home/apt,200,3,0,,,14,356,0,1302202
1165690046782390157,Cozy central studio,103972835,Christina,,Thessaloniki,40.63884,22.95242,Entire home/apt,40,2,15,2024-11-07,2.27,4,249,15,00002442220
1165715213426993747,BH061 - C - Room Thessaloniki,461193921,The Best Homes Md Lp,,Thessaloniki,40.63718,22.94069,Entire home/apt,220,3,0,,,14,360,0,1302202
1165796103879779549,BH701 - C - Room Thessaloniki,461193921,The Best Homes Md Lp,,Thessaloniki,40.63796,22.93948,Entire home/apt,255,3,0,,,14,361,0,1302202
1165818751690905378,BH708 - C - Room Thessaloniki,461193921,The Best Homes Md Lp,,Thessaloniki,40.63727,22.94061,Entire home/apt,440,3,0,,,14,358,0,1302202
1165972394128083633,"Gorria, Nilie Hospitality MGMT",239769711,Nilie Premium Hospitality MGMT,,Thessaloniki,40.61533,22.97466,Entire home/apt,68,1,6,2024-10-20,1.13,284,263,6,00001234569
1165999996492850982,Cozy City Apartment,579977084,Αθηνά,,Thessaloniki,40.6304138,22.9522462,Entire home/apt,70,2,17,2024-10-05,2.77,1,105,17,00002672883
1166386351009630175,Huge 'n' Happy Apartment,539360291,Ioannis,,Thessaloniki,40.63118757877338,22.95266508717194,Entire home/apt,162,2,8,2024-12-15,2.22,1,308,8,00002245316
